curso_codigo;sie_codigo;especialidad_desc;sector_desc;familia_desc;area_desc;especialidad_desc_1;curso_desc;duracion_formacion;duracion_practicas;especialidad_de_certificado;modalidad;dirigido_a;censo;centro_desc;centro_direccion;centro_cp;centro_telefono;centro_email;centro_municipio
18/4543;FCP2018/4543;COMT0211;Servicios;Comercio y marketing;Compraventa;ACTIVIDADES AUXILIARES DE COMERCIO;ACTIVIDADES AUXILIARES DE COMERCIO;230;40;SÍ;Presencial;Desempleados;26848;Centro de Formación Calderón;Calle Virgen del Lluc, 38  ;28027;913045676;info@autoescuelacalderon.com;MADRID
18/4544;FCP2018/4544;COMT0211;Servicios;Comercio y marketing;Compraventa;ACTIVIDADES AUXILIARES DE COMERCIO;ACTIVIDADES AUXILIARES DE COMERCIO;230;40;SÍ;Presencial;Desempleados;26848;Centro de Formación Calderón;Calle Virgen del Lluc, 38  ;28027;913045676;info@autoescuelacalderon.com;MADRID
18/4545;FCP2018/4545;IFCD0111;Servicios;Informática  y comunicaciones;Desarrollo;PROGRAMACIÓN EN LENGUAJES ESTRUCTURADOS DE APLICACIONES DE GESTIÓN;PROGRAMACIÓN EN LENGUAJES ESTRUCTURADOS DE APLICACIONES DE GESTIÓN;620;80;SÍ;Presencial;Desempleados;26848;Centro de Formación Calderón;Calle Virgen del Lluc, 38  ;28027;913045676;info@autoescuelacalderon.com;MADRID
18/4546;FCP2018/4546;IFCT0610;Servicios;Informática  y comunicaciones;Sistemas y telemática;ADMINISTRACIÓN Y PROGRAMACIÓN EN SISTEMAS DE PLANIFICACIÓN DE RECURSOS EMPRESARIALES Y DE GESTIÓN DE RELACIONES CON CLIENTES;ADMINISTRACIÓN Y PROGRAMACIÓN EN SISTEMAS DE PLANIFICACIÓN DE RECURSOS EMPRESARIALES Y DE GESTIÓN DE RELACIONES CON CLIENTES;570;80;SÍ;Presencial;Desempleados;26848;Centro de Formación Calderón;Calle Virgen del Lluc, 38  ;28027;913045676;info@autoescuelacalderon.com;MADRID
18/4547;FCP2018/4547;SSCG0111;Servicios;Servicios socioculturales y a la comunidad;Atención social;GESTIÓN DE LLAMADAS DE TELEASISTENCIA;GESTIÓN DE LLAMADAS DE TELEASISTENCIA;230;80;SÍ;Presencial;Desempleados;26848;Centro de Formación Calderón;Calle Virgen del Lluc, 38  ;28027;913045676;info@autoescuelacalderon.com;MADRID
18/4548;FCP2018/4548;SSCS0108;Servicios;Servicios socioculturales y a la comunidad;Asistencia social;ATENCIÓN SOCIOSANITARIA A PERSONAS EN EL DOMICILIO;ATENCIÓN SOCIOSANITARIA A PERSONAS EN EL DOMICILIO;480;120;SÍ;Presencial;Desempleados;26848;Centro de Formación Calderón;Calle Virgen del Lluc, 38  ;28027;913045676;info@autoescuelacalderon.com;MADRID
18/4549;FCP2018/4549;ADGD0208;Servicios;Administración y gestión;Administración y auditoría;GESTIÓN INTEGRADA DE RECURSOS HUMANOS;GESTIÓN INTEGRADA DE RECURSOS HUMANOS;670;120;SÍ;Presencial;Desempleados;26770;CENTRO DE ESTUDIOS DELTA;Calle Jorge Luis Borges (Zona Ensanche), 9  ;28806;918827978;marcosdelta@hotmail.com;ALCALA DE HENARES
18/4550;FCP2018/4550;ADGD0308;Servicios;Administración y gestión;Administración y auditoría;ACTIVIDADES DE GESTIÓN ADMINISTRATIVA;ACTIVIDADES DE GESTIÓN ADMINISTRATIVA;800;80;SÍ;Presencial;Desempleados;26770;CENTRO DE ESTUDIOS DELTA;Calle Jorge Luis Borges (Zona Ensanche), 9  ;28806;918827978;marcosdelta@hotmail.com;ALCALA DE HENARES
18/4551;FCP2018/4551;ADGG0308;Servicios;Administración y gestión;Gestión de la información y la comunicación;ASISTENCIA DOCUMENTAL Y DE GESTIÓN EN DESPACHOS Y OFICINAS;ASISTENCIA DOCUMENTAL Y DE GESTIÓN EN DESPACHOS Y OFICINAS;670;80;SÍ;Presencial;Desempleados;26770;CENTRO DE ESTUDIOS DELTA;Calle Jorge Luis Borges (Zona Ensanche), 9  ;28806;918827978;marcosdelta@hotmail.com;ALCALA DE HENARES
18/4552;FCP2018/4552;ADGN0108;Servicios;Administración y gestión;Finanzas y Seguros;FINANCIACIÓN DE EMPRESAS;FINANCIACIÓN DE EMPRESAS;550;80;SÍ;Presencial;Desempleados;26770;CENTRO DE ESTUDIOS DELTA;Calle Jorge Luis Borges (Zona Ensanche), 9  ;28806;918827978;marcosdelta@hotmail.com;ALCALA DE HENARES
18/4553;FCP2018/4553;COMT0110;Servicios;Comercio y marketing;Compraventa;ATENCIÓN AL CLIENTE, CONSUMIDOR O USUARIO;ATENCIÓN AL CLIENTE, CONSUMIDOR O USUARIO;420;40;SÍ;Presencial;Desempleados;26770;CENTRO DE ESTUDIOS DELTA;Calle Jorge Luis Borges (Zona Ensanche), 9  ;28806;918827978;marcosdelta@hotmail.com;ALCALA DE HENARES
18/4554;FCP2018/4554;COMT0411;Servicios;Comercio y marketing;Compraventa;GESTIÓN COMERCIAL DE VENTAS;GESTIÓN COMERCIAL DE VENTAS;530;80;SÍ;Presencial;Desempleados;26770;CENTRO DE ESTUDIOS DELTA;Calle Jorge Luis Borges (Zona Ensanche), 9  ;28806;918827978;marcosdelta@hotmail.com;ALCALA DE HENARES
18/4555;FCP2018/4555;IFCD0112;Servicios;Informática  y comunicaciones;Desarrollo;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;630;80;SÍ;Presencial;Desempleados;26770;CENTRO DE ESTUDIOS DELTA;Calle Jorge Luis Borges (Zona Ensanche), 9  ;28806;918827978;marcosdelta@hotmail.com;ALCALA DE HENARES
18/4556;FCP2018/4556;IFCT0109;Servicios;Informática  y comunicaciones;Sistemas y telemática;SEGURIDAD INFORMÁTICA;SEGURIDAD INFORMÁTICA;420;80;SÍ;Presencial;Desempleados;26770;CENTRO DE ESTUDIOS DELTA;Calle Jorge Luis Borges (Zona Ensanche), 9  ;28806;918827978;marcosdelta@hotmail.com;ALCALA DE HENARES
18/4557;FCP2018/4557;ADGD0208;Servicios;Administración y gestión;Administración y auditoría;GESTIÓN INTEGRADA DE RECURSOS HUMANOS;GESTIÓN INTEGRADA DE RECURSOS HUMANOS;670;120;SÍ;Presencial;Desempleados;27922;CENTRO DE ESTUDIOS DELTA-CHORRILLO;Calle Avenida de Ajalvir (entrada c/Antonio Cabezón), 4  ;28806;;;ALCALA DE HENARES
18/4558;FCP2018/4558;ADGD0308;Servicios;Administración y gestión;Administración y auditoría;ACTIVIDADES DE GESTIÓN ADMINISTRATIVA;ACTIVIDADES DE GESTIÓN ADMINISTRATIVA;800;80;SÍ;Presencial;Desempleados;27922;CENTRO DE ESTUDIOS DELTA-CHORRILLO;Calle Avenida de Ajalvir (entrada c/Antonio Cabezón), 4  ;28806;;;ALCALA DE HENARES
18/4559;FCP2018/4559;ADGG0308;Servicios;Administración y gestión;Gestión de la información y la comunicación;ASISTENCIA DOCUMENTAL Y DE GESTIÓN EN DESPACHOS Y OFICINAS;ASISTENCIA DOCUMENTAL Y DE GESTIÓN EN DESPACHOS Y OFICINAS;670;80;SÍ;Presencial;Desempleados;27922;CENTRO DE ESTUDIOS DELTA-CHORRILLO;Calle Avenida de Ajalvir (entrada c/Antonio Cabezón), 4  ;28806;;;ALCALA DE HENARES
18/4560;FCP2018/4560;COMT0411;Servicios;Comercio y marketing;Compraventa;GESTIÓN COMERCIAL DE VENTAS;GESTIÓN COMERCIAL DE VENTAS;530;80;SÍ;Presencial;Desempleados;27922;CENTRO DE ESTUDIOS DELTA-CHORRILLO;Calle Avenida de Ajalvir (entrada c/Antonio Cabezón), 4  ;28806;;;ALCALA DE HENARES
18/4561;FCP2018/4561;ELEM0110;Industria;Electricidad y electrónica;Máquinas electromecánicas;DESARROLLO DE PROYECTOS DE SISTEMAS DE AUTOMATIZACIÓN INDUSTRIAL;DESARROLLO DE PROYECTOS DE SISTEMAS DE AUTOMATIZACIÓN INDUSTRIAL;550;80;SÍ;Presencial;Desempleados;27922;CENTRO DE ESTUDIOS DELTA-CHORRILLO;Calle Avenida de Ajalvir (entrada c/Antonio Cabezón), 4  ;28806;;;ALCALA DE HENARES
18/4562;FCP2018/4562;IFCD0111;Servicios;Informática  y comunicaciones;Desarrollo;PROGRAMACIÓN EN LENGUAJES ESTRUCTURADOS DE APLICACIONES DE GESTIÓN;PROGRAMACIÓN EN LENGUAJES ESTRUCTURADOS DE APLICACIONES DE GESTIÓN;620;80;SÍ;Presencial;Desempleados;27922;CENTRO DE ESTUDIOS DELTA-CHORRILLO;Calle Avenida de Ajalvir (entrada c/Antonio Cabezón), 4  ;28806;;;ALCALA DE HENARES
18/4563;FCP2018/4563;IFCD0112;Servicios;Informática  y comunicaciones;Desarrollo;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;630;80;SÍ;Presencial;Desempleados;27922;CENTRO DE ESTUDIOS DELTA-CHORRILLO;Calle Avenida de Ajalvir (entrada c/Antonio Cabezón), 4  ;28806;;;ALCALA DE HENARES
18/4564;FCP2018/4564;ADGN0108;Servicios;Administración y gestión;Finanzas y Seguros;FINANCIACIÓN DE EMPRESAS;FINANCIACIÓN DE EMPRESAS;550;80;SÍ;Presencial;Desempleados;26431;ACADEMIA LUSSAC;Calle Holanda, 4  ;28916;916803677;importante@academialussac.com;LEGANES
18/4565;FCP2018/4565;ADGN0208;Servicios;Administración y gestión;Finanzas y Seguros;COMERCIALIZACIÓN Y ADMINISTRACIÓN DE PRODUCTOS Y SERVICIOS FINANCIEROS;COMERCIALIZACIÓN Y ADMINISTRACIÓN DE PRODUCTOS Y SERVICIOS FINANCIEROS;720;80;SÍ;Presencial;Desempleados;26431;ACADEMIA LUSSAC;Calle Holanda, 4  ;28916;916803677;importante@academialussac.com;LEGANES
18/4566;FCP2018/4566;COMT0411;Servicios;Comercio y marketing;Compraventa;GESTIÓN COMERCIAL DE VENTAS;GESTIÓN COMERCIAL DE VENTAS;530;80;SÍ;Presencial;Desempleados;26431;ACADEMIA LUSSAC;Calle Holanda, 4  ;28916;916803677;importante@academialussac.com;LEGANES
18/4567;FCP2018/4567;IFCD0112;Servicios;Informática  y comunicaciones;Desarrollo;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;630;80;SÍ;Presencial;Desempleados;26431;ACADEMIA LUSSAC;Calle Holanda, 4  ;28916;916803677;importante@academialussac.com;LEGANES
18/4568;FCP2018/4568;ADGN0108;Servicios;Administración y gestión;Finanzas y Seguros;FINANCIACIÓN DE EMPRESAS;FINANCIACIÓN DE EMPRESAS;550;80;SÍ;Presencial;Desempleados;27356;VILLAMADRID;Calle Transversal Sexta, 17  ;28021;916803677;importante@academialussac.com;MADRID
18/4569;FCP2018/4569;ADGN0208;Servicios;Administración y gestión;Finanzas y Seguros;COMERCIALIZACIÓN Y ADMINISTRACIÓN DE PRODUCTOS Y SERVICIOS FINANCIEROS;COMERCIALIZACIÓN Y ADMINISTRACIÓN DE PRODUCTOS Y SERVICIOS FINANCIEROS;720;80;SÍ;Presencial;Desempleados;27356;VILLAMADRID;Calle Transversal Sexta, 17  ;28021;916803677;importante@academialussac.com;MADRID
18/4570;FCP2018/4570;HOTG0208;Servicios;Hostelería y turismo;Agencias de viaje;VENTA DE PRODUCTOS Y SERVICIOS TURÍSTICOS;VENTA DE PRODUCTOS Y SERVICIOS TURÍSTICOS;550;120;SÍ;Presencial;Desempleados;27356;VILLAMADRID;Calle Transversal Sexta, 17  ;28021;916803677;importante@academialussac.com;MADRID
18/4571;FCP2018/4571;IFCD0112;Servicios;Informática  y comunicaciones;Desarrollo;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;630;80;SÍ;Presencial;Desempleados;27356;VILLAMADRID;Calle Transversal Sexta, 17  ;28021;916803677;importante@academialussac.com;MADRID
18/4572;FCP2018/4572;IFCT0510;Servicios;Informática  y comunicaciones;Sistemas y telemática;GESTIÓN DE SISTEMAS INFORMÁTICOS;GESTIÓN DE SISTEMAS INFORMÁTICOS;420;80;SÍ;Presencial;Desempleados;27356;VILLAMADRID;Calle Transversal Sexta, 17  ;28021;916803677;importante@academialussac.com;MADRID
18/4573;FCP2018/4573;ADGN0108;Servicios;Administración y gestión;Finanzas y Seguros;FINANCIACIÓN DE EMPRESAS;FINANCIACIÓN DE EMPRESAS;550;80;SÍ;Presencial;Desempleados;27517;FORMULA EDUCATIVA S.C.M. (COLEGIO CATÓN);Calle Ronda de Zaragoza, s/n  ;28990;916803677;importante@academialussac.com;TORREJON DE VELASCO
18/4574;FCP2018/4574;ADGN0208;Servicios;Administración y gestión;Finanzas y Seguros;COMERCIALIZACIÓN Y ADMINISTRACIÓN DE PRODUCTOS Y SERVICIOS FINANCIEROS;COMERCIALIZACIÓN Y ADMINISTRACIÓN DE PRODUCTOS Y SERVICIOS FINANCIEROS;720;80;SÍ;Presencial;Desempleados;27517;FORMULA EDUCATIVA S.C.M. (COLEGIO CATÓN);Calle Ronda de Zaragoza, s/n  ;28990;916803677;importante@academialussac.com;TORREJON DE VELASCO
18/4575;FCP2018/4575;AFDA0311;Servicios;Actividades fisicas y deportivas;Actividades físico-deportivo recreativas;INSTRUCCIÓN EN YOGA;INSTRUCCIÓN EN YOGA;430;120;SÍ;Presencial;Desempleados;27517;FORMULA EDUCATIVA S.C.M. (COLEGIO CATÓN);Calle Ronda de Zaragoza, s/n  ;28990;916803677;importante@academialussac.com;TORREJON DE VELASCO
18/4576;FCP2018/4576;HOTG0208;Servicios;Hostelería y turismo;Agencias de viaje;VENTA DE PRODUCTOS Y SERVICIOS TURÍSTICOS;VENTA DE PRODUCTOS Y SERVICIOS TURÍSTICOS;550;120;SÍ;Presencial;Desempleados;27517;FORMULA EDUCATIVA S.C.M. (COLEGIO CATÓN);Calle Ronda de Zaragoza, s/n  ;28990;916803677;importante@academialussac.com;TORREJON DE VELASCO
18/4577;FCP2018/4577;IFCD0112;Servicios;Informática  y comunicaciones;Desarrollo;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;630;80;SÍ;Presencial;Desempleados;27517;FORMULA EDUCATIVA S.C.M. (COLEGIO CATÓN);Calle Ronda de Zaragoza, s/n  ;28990;916803677;importante@academialussac.com;TORREJON DE VELASCO
18/4578;FCP2018/4578;IFCT0510;Servicios;Informática  y comunicaciones;Sistemas y telemática;GESTIÓN DE SISTEMAS INFORMÁTICOS;GESTIÓN DE SISTEMAS INFORMÁTICOS;420;80;SÍ;Presencial;Desempleados;27517;FORMULA EDUCATIVA S.C.M. (COLEGIO CATÓN);Calle Ronda de Zaragoza, s/n  ;28990;916803677;importante@academialussac.com;TORREJON DE VELASCO
18/4579;FCP2018/4579;ADGN0108;Servicios;Administración y gestión;Finanzas y Seguros;FINANCIACIÓN DE EMPRESAS;FINANCIACIÓN DE EMPRESAS;550;80;SÍ;Presencial;Desempleados;28115;NUESTRA SEÑORA DE GRACIA;Paseo Gigantes y Cabezudos, 12-14  ;28041;;;MADRID
18/4580;FCP2018/4580;ADGN0208;Servicios;Administración y gestión;Finanzas y Seguros;COMERCIALIZACIÓN Y ADMINISTRACIÓN DE PRODUCTOS Y SERVICIOS FINANCIEROS;COMERCIALIZACIÓN Y ADMINISTRACIÓN DE PRODUCTOS Y SERVICIOS FINANCIEROS;720;80;SÍ;Presencial;Desempleados;28115;NUESTRA SEÑORA DE GRACIA;Paseo Gigantes y Cabezudos, 12-14  ;28041;;;MADRID
18/4581;FCP2018/4581;COMT0411;Servicios;Comercio y marketing;Compraventa;GESTIÓN COMERCIAL DE VENTAS;GESTIÓN COMERCIAL DE VENTAS;530;80;SÍ;Presencial;Desempleados;28115;NUESTRA SEÑORA DE GRACIA;Paseo Gigantes y Cabezudos, 12-14  ;28041;;;MADRID
18/4582;FCP2018/4582;HOTG0208;Servicios;Hostelería y turismo;Agencias de viaje;VENTA DE PRODUCTOS Y SERVICIOS TURÍSTICOS;VENTA DE PRODUCTOS Y SERVICIOS TURÍSTICOS;550;120;SÍ;Presencial;Desempleados;28115;NUESTRA SEÑORA DE GRACIA;Paseo Gigantes y Cabezudos, 12-14  ;28041;;;MADRID
18/4583;FCP2018/4583;IFCD0112;Servicios;Informática  y comunicaciones;Desarrollo;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;630;80;SÍ;Presencial;Desempleados;28115;NUESTRA SEÑORA DE GRACIA;Paseo Gigantes y Cabezudos, 12-14  ;28041;;;MADRID
18/4584;FCP2018/4584;IFCT0510;Servicios;Informática  y comunicaciones;Sistemas y telemática;GESTIÓN DE SISTEMAS INFORMÁTICOS;GESTIÓN DE SISTEMAS INFORMÁTICOS;420;80;SÍ;Presencial;Desempleados;28115;NUESTRA SEÑORA DE GRACIA;Paseo Gigantes y Cabezudos, 12-14  ;28041;;;MADRID
18/4585;FCP2018/4585;IMPE0108;Servicios;Imagen personal;Estética;SERVICIOS AUXILIARES DE ESTÉTICA;SERVICIOS AUXILIARES DE ESTÉTICA;240;120;SÍ;Presencial;Desempleados;26645;ESCUELA SUPERIOR DE IMAGEN PROFESIONAL (E.S.I.P.);Calle Madera, 7  ;28004;915325150;formacion@escuelaesip.com;MADRID
18/4586;FCP2018/4586;IMPE0108;Servicios;Imagen personal;Estética;SERVICIOS AUXILIARES DE ESTÉTICA;SERVICIOS AUXILIARES DE ESTÉTICA;240;120;SÍ;Presencial;Desempleados;26645;ESCUELA SUPERIOR DE IMAGEN PROFESIONAL (E.S.I.P.);Calle Madera, 7  ;28004;915325150;formacion@escuelaesip.com;MADRID
18/4587;FCP2018/4587;IMPP0108;Servicios;Imagen personal;Peluquería y tratamientos de piel y belleza;CUIDADOS ESTÉTICOS DE MANOS Y PIES;CUIDADOS ESTÉTICOS DE MANOS Y PIES;280;80;SÍ;Presencial;Desempleados;26645;ESCUELA SUPERIOR DE IMAGEN PROFESIONAL (E.S.I.P.);Calle Madera, 7  ;28004;915325150;formacion@escuelaesip.com;MADRID
18/4588;FCP2018/4588;IMPP0108;Servicios;Imagen personal;Peluquería y tratamientos de piel y belleza;CUIDADOS ESTÉTICOS DE MANOS Y PIES;CUIDADOS ESTÉTICOS DE MANOS Y PIES;280;80;SÍ;Presencial;Desempleados;26645;ESCUELA SUPERIOR DE IMAGEN PROFESIONAL (E.S.I.P.);Calle Madera, 7  ;28004;915325150;formacion@escuelaesip.com;MADRID
18/4589;FCP2018/4589;IMPQ0108;Servicios;Imagen personal;Peluquería;SERVICIOS AUXILIARES DE PELUQUERÍA;SERVICIOS AUXILIARES DE PELUQUERÍA;210;120;SÍ;Presencial;Desempleados;26645;ESCUELA SUPERIOR DE IMAGEN PROFESIONAL (E.S.I.P.);Calle Madera, 7  ;28004;915325150;formacion@escuelaesip.com;MADRID
18/4590;FCP2018/4590;IMPQ0108;Servicios;Imagen personal;Peluquería;SERVICIOS AUXILIARES DE PELUQUERÍA;SERVICIOS AUXILIARES DE PELUQUERÍA;210;120;SÍ;Presencial;Desempleados;26645;ESCUELA SUPERIOR DE IMAGEN PROFESIONAL (E.S.I.P.);Calle Madera, 7  ;28004;915325150;formacion@escuelaesip.com;MADRID
18/4591;FCP2018/4591;IMPQ0208;Servicios;Imagen personal;Peluquería;PELUQUERÍA;PELUQUERÍA;590;120;SÍ;Presencial;Desempleados;26645;ESCUELA SUPERIOR DE IMAGEN PROFESIONAL (E.S.I.P.);Calle Madera, 7  ;28004;915325150;formacion@escuelaesip.com;MADRID
18/4592;FCP2018/4592;IMPE0108;Servicios;Imagen personal;Estética;SERVICIOS AUXILIARES DE ESTÉTICA;SERVICIOS AUXILIARES DE ESTÉTICA;240;120;SÍ;Presencial;Desempleados;26983;ESIP MOSTOLES;Avenida Portugal, 82  ;28935;915223050;escuela@marcoaldany.com;MOSTOLES
18/4593;FCP2018/4593;IMPE0108;Servicios;Imagen personal;Estética;SERVICIOS AUXILIARES DE ESTÉTICA;SERVICIOS AUXILIARES DE ESTÉTICA;240;120;SÍ;Presencial;Desempleados;26983;ESIP MOSTOLES;Avenida Portugal, 82  ;28935;915223050;escuela@marcoaldany.com;MOSTOLES
18/4594;FCP2018/4594;IMPP0108;Servicios;Imagen personal;Peluquería y tratamientos de piel y belleza;CUIDADOS ESTÉTICOS DE MANOS Y PIES;CUIDADOS ESTÉTICOS DE MANOS Y PIES;280;80;SÍ;Presencial;Desempleados;26983;ESIP MOSTOLES;Avenida Portugal, 82  ;28935;915223050;escuela@marcoaldany.com;MOSTOLES
18/4595;FCP2018/4595;IMPP0108;Servicios;Imagen personal;Peluquería y tratamientos de piel y belleza;CUIDADOS ESTÉTICOS DE MANOS Y PIES;CUIDADOS ESTÉTICOS DE MANOS Y PIES;280;80;SÍ;Presencial;Desempleados;26983;ESIP MOSTOLES;Avenida Portugal, 82  ;28935;915223050;escuela@marcoaldany.com;MOSTOLES
18/4596;FCP2018/4596;ADGG0308;Servicios;Administración y gestión;Gestión de la información y la comunicación;ASISTENCIA DOCUMENTAL Y DE GESTIÓN EN DESPACHOS Y OFICINAS;ASISTENCIA DOCUMENTAL Y DE GESTIÓN EN DESPACHOS Y OFICINAS;670;80;SÍ;Presencial;Desempleados;577;TAJAMAR;Calle Pio Felipe, 12  ;28038;914783498;jaruiz@tajamar.es;MADRID
18/4597;FCP2018/4597;COML0109;Servicios;Comercio y marketing;Logística comercial y gestión del transporte;TRÁFICO DE MERCANCÍAS POR CARRETERA;TRÁFICO DE MERCANCÍAS POR CARRETERA;440;80;SÍ;Presencial;Desempleados;577;TAJAMAR;Calle Pio Felipe, 12  ;28038;914783498;jaruiz@tajamar.es;MADRID
18/4598;FCP2018/4598;COML0209;Servicios;Comercio y marketing;Logística comercial y gestión del transporte;ORGANIZACIÓN DEL TRANSPORTE Y LA DISTRIBUCIÓN;ORGANIZACIÓN DEL TRANSPORTE Y LA DISTRIBUCIÓN;340;80;SÍ;Presencial;Desempleados;577;TAJAMAR;Calle Pio Felipe, 12  ;28038;914783498;jaruiz@tajamar.es;MADRID
18/4599;FCP2018/4599;COMT0110;Servicios;Comercio y marketing;Compraventa;ATENCIÓN AL CLIENTE, CONSUMIDOR O USUARIO;ATENCIÓN AL CLIENTE, CONSUMIDOR O USUARIO;420;40;SÍ;Presencial;Desempleados;577;TAJAMAR;Calle Pio Felipe, 12  ;28038;914783498;jaruiz@tajamar.es;MADRID
18/4600;FCP2018/4600;COMT0311;Servicios;Comercio y marketing;Compraventa;CONTROL Y FORMACIÓN EN CONSUMO;CONTROL Y FORMACIÓN EN CONSUMO;460;80;SÍ;Presencial;Desempleados;577;TAJAMAR;Calle Pio Felipe, 12  ;28038;914783498;jaruiz@tajamar.es;MADRID
18/4601;FCP2018/4601;IFCD0112;Servicios;Informática  y comunicaciones;Desarrollo;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES;630;80;SÍ;Presencial;Desempleados;577;TAJAMAR;Calle Pio Felipe, 12  ;28038;914783498;jaruiz@tajamar.es;MADRID
18/4602;FCP2018/4602;IFCT0109;Servicios;Informática  y comunicaciones;Sistemas y telemática;SEGURIDAD INFORMÁTICA;SEGURIDAD INFORMÁTICA;420;80;SÍ;Presencial;Desempleados;577;TAJAMAR;Calle Pio Felipe, 12  ;28038;914783498;jaruiz@tajamar.es;MADRID
18/4603;FCP2018/4603;IFCT0510;Servicios;Informática  y comunicaciones;Sistemas y telemática;GESTIÓN DE SISTEMAS INFORMÁTICOS;GESTIÓN DE SISTEMAS INFORMÁTICOS;420;80;SÍ;Presencial;Desempleados;577;TAJAMAR;Calle Pio Felipe, 12  ;28038;914783498;jaruiz@tajamar.es;MADRID
18/4604;FCP2018/4604;SSCB0209;Servicios;Servicios socioculturales y a la comunidad;Actividades culturales y recreativas;DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL;DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL;150;160;SÍ;Presencial;Desempleados;577;TAJAMAR;Calle Pio Felipe, 12  ;28038;914783498;jaruiz@tajamar.es;MADRID
18/4605;FCP2018/4605;SSCE0109;Servicios;Servicios socioculturales y a la comunidad;Formación y educación;INFORMACIÓN JUVENIL;INFORMACIÓN JUVENIL;360;120;SÍ;Presencial;Desempleados;577;TAJAMAR;Calle Pio Felipe, 12  ;28038;914783498;jaruiz@tajamar.es;MADRID
18/4606;FCP2018/4606;ADGG0308;Servicios;Administración y gestión;Gestión de la información y la comunicación;ASISTENCIA DOCUMENTAL Y DE GESTIÓN EN DESPACHOS Y OFICINAS;ASISTENCIA DOCUMENTAL Y DE GESTIÓN EN DESPACHOS Y OFICINAS;670;80;SÍ;Presencial;Desempleados;27528;FUNDACION COLEGIO ALBORADA;Calle Alejo Carpentier, 27  ;28806;918301912;jaruiz@tajamar.es;ALCALA DE HENARES
18/4607;FCP2018/4607;COML0210;Servicios;Comercio y marketing;Logística comercial y gestión del transporte;GESTIÓN Y CONTROL DEL APROVISIONAMIENTO;GESTIÓN Y CONTROL DEL APROVISIONAMIENTO;370;80;SÍ;Presencial;Desempleados;27528;FUNDACION COLEGIO ALBORADA;Calle Alejo Carpentier, 27  ;28806;918301912;jaruiz@tajamar.es;ALCALA DE HENARES
18/4608;FCP2018/4608;IFCD0110;Servicios;Informática  y comunicaciones;Desarrollo;CONFECCIÓN Y PUBLICACIÓN DE PÁGINAS WEB;CONFECCIÓN Y PUBLICACIÓN DE PÁGINAS WEB;480;80;SÍ;Presencial;Desempleados;27528;FUNDACION COLEGIO ALBORADA;Calle Alejo Carpentier, 27  ;28806;918301912;jaruiz@tajamar.es;ALCALA DE HENARES
18/4609;FCP2018/4609;IFCD0210;Servicios;Informática  y comunicaciones;Desarrollo;DESARROLLO DE APLICACIONES CON TECNOLOGÍAS WEB;DESARROLLO DE APLICACIONES CON TECNOLOGÍAS WEB;510;80;SÍ;Presencial;Desempleados;27528;FUNDACION COLEGIO ALBORADA;Calle Alejo Carpentier, 27  ;28806;918301912;jaruiz@tajamar.es;ALCALA DE HENARES
18/4610;FCP2018/4610;IFCM0310;Servicios;Informática  y comunicaciones;Comunicaciones;GESTIÓN DE REDES DE VOZ Y DATOS;GESTIÓN DE REDES DE VOZ Y DATOS;530;80;SÍ;Presencial;Desempleados;27528;FUNDACION COLEGIO ALBORADA;Calle Alejo Carpentier, 27  ;28806;918301912;jaruiz@tajamar.es;ALCALA DE HENARES
18/4611;FCP2018/4611;IFCT0109;Servicios;Informática  y comunicaciones;Sistemas y telemática;SEGURIDAD INFORMÁTICA;SEGURIDAD INFORMÁTICA;420;80;SÍ;Presencial;Desempleados;27528;FUNDACION COLEGIO ALBORADA;Calle Alejo Carpentier, 27  ;28806;918301912;jaruiz@tajamar.es;ALCALA DE HENARES
